Year,Total_Raw,Total_Pct,Security_and_privacy_Raw,Security_and_privacy_Pct,Computing_methodologies_Raw,Computing_methodologies_Pct,Information_systems_Raw,Information_systems_Pct,Networks_Raw,Networks_Pct,Human-centered_computing_Raw,Human-centered_computing_Pct
2015,104,8.366854385,104,8.387096774,19,5.688622754,15,11.9047619,5,6.578947368,7,10
2016,190,15.28559936,188,15.16129032,40,11.9760479,31,24.6031746,13,17.10526316,12,17.14285714
2017,295,23.73290426,293,23.62903226,63,18.86227545,43,34.12698413,21,27.63157895,19,27.14285714
2018,442,35.55913113,440,35.48387097,102,30.53892216,58,46.03174603,32,42.10526316,27,38.57142857
2019,550,44.24778761,548,44.19354839,135,40.41916168,64,50.79365079,40,52.63157895,32,45.71428571
2020,684,55.02815768,682,55,166,49.7005988,72,57.14285714,48,63.15789474,43,61.42857143
2021,818,65.80852776,816,65.80645161,208,62.2754491,86,68.25396825,54,71.05263158,49,70
2022,976,78.51971038,974,78.5483871,260,77.84431138,100,79.36507937,66,86.84210526,60,85.71428571
2023,1198,96.37972647,1195,96.37096774,321,96.10778443,121,96.03174603,74,97.36842105,70,100
2024,1243,100,1240,100,334,100,126,100,76,100,70,100
